trial_id,nct_id,title,phase,condition,drug_class,status,enrollment_target,sponsor
TR-02045,NCT20240000,ACE Inhibitor Study in COPD - Phase 2,Phase 2,COPD,DPP-4 Inhibitor,Completed,11944,Pharma Corp A
TR-20001,NCT20240001,Investigational DPP-4 Inhibitor Analog Study in Obesity - Phase 4,Phase 4,Obesity,SGLT-2 Inhibitor,Recruiting,1623,MedResearch LLC
TR-20002,NCT20240002,DPP-4 Inhibitor Study in Heart Failure - Phase 2,Phase 2,Heart Failure,GLP-1 Agonist,Completed,10701,MedResearch LLC
TR-20003,NCT20240003,SGLT-2 Inhibitor Study in Rheumatoid Arthritis - Phase 4,Phase 4,Rheumatoid Arthritis,Investigational DPP-4 Inhibitor Analog,Active,606,Pharma Corp A
TR-20004,NCT20240004,Dual-Agent Protocol Study in COPD - Phase 4,Phase 4,COPD,Beta Blocker,Completed,2876,University Hospital
TR-20005,NCT20240005,Investigational DPP-4 Inhibitor Analog Study in Hypertension - Phase 4,Phase 4,Hypertension,Beta Blocker,Completed,6068,Pharma Corp A
TR-20006,NCT20240006,GLP-1 Agonist Study in Hypertension - Phase 1,Phase 1,Hypertension,GLP-1 Agonist,Completed,10558,BioTech Inc
TR-20007,NCT20240007,Beta Blocker Study in Type 2 Diabetes - Phase 4,Phase 4,Type 2 Diabetes,GLP-1 Agonist,Completed,3017,University Hospital
TR-20008,NCT20240008,Beta Blocker Study in Heart Failure - Phase 4,Phase 4,Heart Failure,SGLT-2 Inhibitor,Recruiting,5378,Pharma Corp A
TR-20009,NCT20240009,Investigational DPP-4 Inhibitor Analog Study in Atrial Fibrillation - Phase 2,Phase 2,Atrial Fibrillation,DPP-4 Inhibitor,Completed,9160,University Hospital
TR-20010,NCT20240010,ACE Inhibitor Study in Hypertension - Phase 1,Phase 1,Hypertension,GLP-1 Agonist,Active,14173,BioTech Inc
TR-20011,NCT20240011,Immunotherapy (PD-1) Study in Type 2 Diabetes - Phase 4,Phase 4,Type 2 Diabetes,GLP-1 Agonist,Recruiting,2160,BioTech Inc
TR-20012,NCT20240012,Beta Blocker Study in Obesity - Phase 1,Phase 1,Obesity,DPP-4 Inhibitor,Recruiting,2093,MedResearch LLC
TR-20013,NCT20240013,Investigational DPP-4 Inhibitor Analog Study in Asthma - Phase 2,Phase 2,Asthma,DPP-4 Inhibitor,Active,4975,Pharma Corp A
TR-20014,NCT20240014,Dual-Agent Protocol Study in Atrial Fibrillation - Phase 3,Phase 3,Atrial Fibrillation,SGLT-2 Inhibitor,Completed,8085,MedResearch LLC
TR-20015,NCT20240015,ACE Inhibitor Study in Atrial Fibrillation - Phase 3,Phase 3,Atrial Fibrillation,GLP-1 Agonist,Recruiting,3934,Pharma Corp A
TR-20016,NCT20240016,Beta Blocker Study in COPD - Phase 2,Phase 2,COPD,ACE Inhibitor,Active,9915,BioTech Inc
TR-20017,NCT20240017,Beta Blocker Study in Rheumatoid Arthritis - Phase 3,Phase 3,Rheumatoid Arthritis,SGLT-2 Inhibitor,Completed,6964,Pharma Corp A
TR-20018,NCT20240018,Beta Blocker Study in Atrial Fibrillation - Phase 3,Phase 3,Atrial Fibrillation,Investigational DPP-4 Inhibitor Analog,Active,6604,University Hospital
TR-20019,NCT20240019,Investigational DPP-4 Inhibitor Analog Study in Hypertension - Phase 3,Phase 3,Hypertension,SGLT-2 Inhibitor,Completed,3388,Pharma Corp A
TR-20020,NCT20240020,Immunotherapy (PD-1) Study in Depression - Phase 2,Phase 2,Depression,SGLT-2 Inhibitor,Completed,13510,BioTech Inc
TR-20021,NCT20240021,Investigational DPP-4 Inhibitor Analog Study in Asthma - Phase 4,Phase 4,Asthma,DPP-4 Inhibitor,Completed,4105,Pharma Corp A
TR-20022,NCT20240022,GLP-1 Agonist Study in Depression - Phase 1,Phase 1,Depression,Investigational DPP-4 Inhibitor Analog,Recruiting,5446,Pharma Corp A
TR-20023,NCT20240023,Beta Blocker Study in Asthma - Phase 3,Phase 3,Asthma,SGLT-2 Inhibitor,Active,4533,Pharma Corp A
TR-20024,NCT20240024,ACE Inhibitor Study in Hypertension - Phase 4,Phase 4,Hypertension,Investigational DPP-4 Inhibitor Analog,Recruiting,12874,Pharma Corp A
TR-20025,NCT20240025,Dual-Agent Protocol Study in Obesity - Phase 3,Phase 3,Obesity,GLP-1 Agonist,Completed,5766,MedResearch LLC
TR-20026,NCT20240026,GLP-1 Agonist Study in Atrial Fibrillation - Phase 3,Phase 3,Atrial Fibrillation,DPP-4 Inhibitor,Active,5260,University Hospital
TR-20027,NCT20240027,Investigational DPP-4 Inhibitor Analog Study in Obesity - Phase 3,Phase 3,Obesity,Dual-Agent Protocol,Completed,2140,MedResearch LLC
TR-20028,NCT20240028,SGLT-2 Inhibitor Study in Type 2 Diabetes - Phase 2,Phase 2,Type 2 Diabetes,SGLT-2 Inhibitor,Completed,9348,MedResearch LLC
TR-20029,NCT20240029,ACE Inhibitor Study in Type 2 Diabetes - Phase 3,Phase 3,Type 2 Diabetes,Investigational DPP-4 Inhibitor Analog,Completed,3049,University Hospital
TR-20030,NCT20240030,Beta Blocker Study in Asthma - Phase 4,Phase 4,Asthma,Beta Blocker,Completed,8579,BioTech Inc
TR-20031,NCT20240031,Beta Blocker Study in Depression - Phase 1,Phase 1,Depression,Investigational DPP-4 Inhibitor Analog,Completed,13898,Pharma Corp A
TR-20032,NCT20240032,ACE Inhibitor Study in Hypertension - Phase 1,Phase 1,Hypertension,GLP-1 Agonist,Active,9475,Pharma Corp A
TR-20033,NCT20240033,Dual-Agent Protocol Study in Hypertension - Phase 3,Phase 3,Hypertension,DPP-4 Inhibitor,Completed,11142,BioTech Inc
TR-20034,NCT20240034,GLP-1 Agonist Study in Heart Failure - Phase 4,Phase 4,Heart Failure,Investigational DPP-4 Inhibitor Analog,Recruiting,10147,BioTech Inc
TR-20035,NCT20240035,Immunotherapy (PD-1) Study in Type 2 Diabetes - Phase 4,Phase 4,Type 2 Diabetes,ACE Inhibitor,Completed,11257,Pharma Corp A
TR-20036,NCT20240036,SGLT-2 Inhibitor Study in Rheumatoid Arthritis - Phase 4,Phase 4,Rheumatoid Arthritis,ACE Inhibitor,Active,1280,MedResearch LLC
TR-20037,NCT20240037,DPP-4 Inhibitor Study in Obesity - Phase 3,Phase 3,Obesity,Investigational DPP-4 Inhibitor Analog,Completed,6261,BioTech Inc
TR-20038,NCT20240038,Immunotherapy (PD-1) Study in Asthma - Phase 1,Phase 1,Asthma,ACE Inhibitor,Completed,13989,Pharma Corp A
TR-20039,NCT20240039,Dual-Agent Protocol Study in Depression - Phase 3,Phase 3,Depression,Beta Blocker,Completed,3540,Pharma Corp A
TR-20040,NCT20240040,ACE Inhibitor Study in Rheumatoid Arthritis - Phase 4,Phase 4,Rheumatoid Arthritis,Beta Blocker,Completed,13578,Pharma Corp A
TR-20041,NCT20240041,DPP-4 Inhibitor Study in Heart Failure - Phase 4,Phase 4,Heart Failure,Immunotherapy (PD-1),Recruiting,10134,University Hospital
TR-20042,NCT20240042,Immunotherapy (PD-1) Study in Asthma - Phase 3,Phase 3,Asthma,GLP-1 Agonist,Recruiting,5779,BioTech Inc
TR-20043,NCT20240043,DPP-4 Inhibitor Study in Chronic Kidney Disease - Phase 3,Phase 3,Chronic Kidney Disease,GLP-1 Agonist,Completed,8111,BioTech Inc
TR-20044,NCT20240044,Investigational DPP-4 Inhibitor Analog Study in Hypertension - Phase 2,Phase 2,Hypertension,GLP-1 Agonist,Completed,163,BioTech Inc
TR-20045,NCT20240045,Dual-Agent Protocol Study in Depression - Phase 2,Phase 2,Depression,Investigational DPP-4 Inhibitor Analog,Completed,4953,MedResearch LLC
TR-20046,NCT20240046,Beta Blocker Study in Chronic Kidney Disease - Phase 2,Phase 2,Chronic Kidney Disease,GLP-1 Agonist,Completed,10802,University Hospital
TR-20047,NCT20240047,Immunotherapy (PD-1) Study in Obesity - Phase 2,Phase 2,Obesity,Investigational DPP-4 Inhibitor Analog,Recruiting,5935,BioTech Inc
TR-20048,NCT20240048,Beta Blocker Study in Hypertension - Phase 2,Phase 2,Hypertension,DPP-4 Inhibitor,Active,6514,University Hospital
TR-20049,NCT20240049,SGLT-2 Inhibitor Study in Asthma - Phase 1,Phase 1,Asthma,ACE Inhibitor,Completed,10949,MedResearch LLC
TR-20050,NCT20240050,Dual-Agent Protocol Study in Hypertension - Phase 4,Phase 4,Hypertension,Dual-Agent Protocol,Active,5372,University Hospital
TR-20051,NCT20240051,SGLT-2 Inhibitor Study in Atrial Fibrillation - Phase 4,Phase 4,Atrial Fibrillation,GLP-1 Agonist,Recruiting,13037,Pharma Corp A
TR-20052,NCT20240052,Immunotherapy (PD-1) Study in Obesity - Phase 2,Phase 2,Obesity,DPP-4 Inhibitor,Active,902,MedResearch LLC
